mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	4	25	25	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		4	52	E3	3	80
5	4	25	25	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		2	74	D5	5	65
6	5	26	26	1.0	0	0	3/2	3	1	1/4	1/4	1		3	57	A3	3	88
6	5	26	26	1.0	0	0	3/2	4	1	1/4	1/4	1		3	57	A3	3	94
6	5	26	26	2.0	0	0	3/2	2	1	1/2	1/2	1	-1	5	71	B4	4	85
6	5	26	26	3.0	0	0	3/2	1	1	3/4	1/2	3/2		7	73	C#5	5	81
6	5	27	27	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		8	56	G#3	3	89
6	5	27	27	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		8	56	G#3	3	95
6	5	28	28	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		3	57	A3	3	90
6	5	28	28	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		3	57	A3	3	96
6	5	28	28	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		4	64	E4	4	86
6	5	29	29	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		5	59	B3	3	91
6	5	29	29	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		5	59	B3	3	97
6	5	29	29	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		7	73	C#5	5	82
6	5	30	30	1.0	1	1	3/2	3	1	1/4	1/4	1		7	61	C#4	4	92
6	5	30	30	1.0	1	1	3/2	4	1	1/4	1/4	1		7	61	C#4	4	98
6	5	30	30	2.0	1	1	3/2	2	1	1/2	1/2	1		3	69	A4	4	87
6	5	30	30	1.0	1	1	3/2	1	1	1/4	1/4	1		6	78	F#5	5	83
6	5	31	31	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		3	57	A3	3	93
6	5	31	31	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		3	57	A3	3	99
6	5	31	31	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		4	76	E5	5	84
7	6	32	32	1.0	0	0	3/2	3	1	1/4	1/4	1		5	59	B3	3	106
7	6	32	32	1.0	0	0	3/2	4	1	1/4	1/4	1		5	59	B3	3	112
7	6	32	32	3.0	0	0	3/2	2	1	3/4	1/2	3/2		3	69	A4	4	103
7	6	32	32	3.0	0	0	3/2	1	1	3/4	1/2	3/2		9	75	D#5	5	100
7	6	33	33	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		7	61	C#4	4	107
7	6	33	33	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		7	61	C#4	4	113
7	6	34	34	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		5	59	B3	3	108
7	6	34	34	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		5	59	B3	3	114
7	6	35	35	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		3	57	A3	3	109
7	6	35	35	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		3	57	A3	3	115
